,Date,Price,market_cap,total_volume
0,2020-09-14 00:00:00+00:00,0.6622139698399856,10251340.283580108,894499.6301270226
1,2020-09-15 00:00:00+00:00,0.6622139698399856,10251340.283580108,894499.6301270226
2,2020-09-16 00:00:00+00:00,0.8826558770745347,21366351.353723764,6275304.800803053
3,2020-09-17 00:00:00+00:00,0.6930437298624063,14068505.72098768,3411160.540862163
4,2020-09-18 00:00:00+00:00,0.5735695848079249,10038386.002005763,1261250.726790599
5,2020-09-19 00:00:00+00:00,0.5754268804754821,9743116.103334192,1469081.5468854392
6,2020-09-20 00:00:00+00:00,0.6027742824431044,10413093.98601612,1560065.2841212612
7,2020-09-21 00:00:00+00:00,0.5481828735565742,9566086.91091115,1447669.2261941358
8,2020-09-22 00:00:00+00:00,0.5681330107430528,8974806.776329575,1596616.478136923
9,2020-09-23 00:00:00+00:00,0.8445748405673481,20684557.289051265,15697665.571939783
10,2020-09-24 00:00:00+00:00,0.7358680448708228,15764874.294261288,8489015.639769716
11,2020-09-25 00:00:00+00:00,0.7729781480062092,17272866.598576527,4627589.766018098
12,2020-09-26 00:00:00+00:00,0.7209147089584799,15474702.459230669,3387443.4329454685
13,2020-09-27 00:00:00+00:00,0.7371165075496331,15978998.746094055,3081540.893991299
14,2020-09-28 00:00:00+00:00,0.7201741930733063,15198014.09033361,2769316.4223431405
15,2020-09-29 00:00:00+00:00,0.6735927253516311,13506683.38910251,2715504.136266392
16,2020-09-30 00:00:00+00:00,0.6898550829941431,13725369.916585747,3270554.2302889195
17,2020-10-01 00:00:00+00:00,0.7257139909761147,15150103.403497037,3332941.3565687733
18,2020-10-02 00:00:00+00:00,0.6799316204082829,13534797.892457671,2409053.4233959657
19,2020-10-03 00:00:00+00:00,0.667158836303499,12889581.23084446,2813049.7435540594
20,2020-10-04 00:00:00+00:00,0.6659458791246392,12839312.08318358,1716031.1427257245
21,2020-10-05 00:00:00+00:00,0.6732508266212598,12941348.033195969,2166407.345737985
22,2020-10-06 00:00:00+00:00,0.6726912933056652,13086669.484289184,2062294.0893767904
23,2020-10-07 00:00:00+00:00,0.6365330113420493,11927393.648265108,2559550.048287425
24,2020-10-08 00:00:00+00:00,0.6285541181379793,11476167.779665053,2376516.3892069645
25,2020-10-09 00:00:00+00:00,0.6358563921445513,11641060.63560458,2037349.249390251
26,2020-10-10 00:00:00+00:00,0.636671154429068,11805168.660771884,2141259.390571694
27,2020-10-11 00:00:00+00:00,0.6399224486175638,11933631.658797426,2119435.3075397653
28,2020-10-12 00:00:00+00:00,0.6333779707878873,11865765.04427628,1661506.3544025396
29,2020-10-13 00:00:00+00:00,0.63651888032923,11809403.894559031,2201585.011127486
30,2020-10-14 00:00:00+00:00,0.6183390378033068,11516040.359982556,9282620.183613813
31,2020-10-15 00:00:00+00:00,0.6126234944168848,11091913.213581717,12628891.770845495
32,2020-10-16 00:00:00+00:00,0.6120301923896306,11049207.171297977,10260651.122303506
33,2020-10-17 00:00:00+00:00,0.5947982651000256,10506689.84791226,12980957.849878998
34,2020-10-18 00:00:00+00:00,0.6407569027698633,11773819.293051302,13067159.087459968
35,2020-10-19 00:00:00+00:00,0.6432452091283476,12228930.523483695,11228794.94424319
36,2020-10-20 00:00:00+00:00,0.6060285301858745,11178104.48895087,9073942.851961348
37,2020-10-21 00:00:00+00:00,0.5720634725540419,10621123.445575854,10143478.87732681
38,2020-10-22 00:00:00+00:00,0.5549179398229941,10300713.809714433,10109691.90953159
39,2020-10-23 00:00:00+00:00,0.5759043963024154,10230671.459943144,9641411.437762205
40,2020-10-24 00:00:00+00:00,0.5990327866508045,10515325.817320118,1804000.04868326
41,2020-10-25 00:00:00+00:00,0.5111307400320116,9027709.49841873,9988791.165496852
42,2020-10-26 00:00:00+00:00,0.4998884498240609,10471603.459234724,7661160.358306429
43,2020-10-27 00:00:00+00:00,0.5837596272812562,10077902.37601646,1468249.2236964789
44,2020-10-28 00:00:00+00:00,0.585268533527224,10111357.044703929,1388230.6108564057
45,2020-10-29 00:00:00+00:00,0.5422043050889388,9331437.906184891,9809534.445327086
46,2020-10-30 00:00:00+00:00,0.576680433422023,9811108.20365448,1566165.2320104411
47,2020-10-31 00:00:00+00:00,0.5753085622169017,9712818.412088698,1588708.139323685
48,2020-11-01 00:00:00+00:00,0.5656010531361894,9503345.764224958,1359024.7079573784
49,2020-11-02 00:00:00+00:00,0.560991190017999,9407297.996602325,1277845.5415237558
50,2020-11-03 00:00:00+00:00,0.557766230369015,9320973.892991284,1503631.5507383558
51,2020-11-04 00:00:00+00:00,0.5574707525956005,9170773.254575929,1435007.9507235405
52,2020-11-05 00:00:00+00:00,0.5485432139767061,8867097.824332306,1668437.753810634
53,2020-11-06 00:00:00+00:00,0.5425993189440157,8746021.204170257,1547291.9496930914
54,2020-11-07 00:00:00+00:00,0.5407394037081618,8596192.564777518,1812515.156263345
55,2020-11-08 00:00:00+00:00,0.5433076314613257,8694969.230352135,1547037.9409388637
56,2020-11-09 00:00:00+00:00,0.5429423202094937,8677272.082755277,1218619.3965827357
57,2020-11-10 00:00:00+00:00,0.5435405149387653,8617984.698261615,1454773.5022599518
58,2020-11-11 00:00:00+00:00,0.5420368453409828,8645102.68948992,2115407.515707782
59,2020-11-12 00:00:00+00:00,0.5478263428091156,8734376.696685761,1579907.3112708132
60,2020-11-13 00:00:00+00:00,0.5466830220588269,8824000.330956277,1436999.813455644
61,2020-11-14 00:00:00+00:00,0.543189439627194,8757433.83185743,1771433.3810722418
